iter	Accuracy	MultiClass
0	0.6365	1.560780408
1	0.6936428571	1.514870029
2	0.7073571429	1.473431181
3	0.7118571429	1.4352615
4	0.7126071429	1.400884981
5	0.71425	1.367800572
6	0.7183214286	1.337181693
7	0.7214642857	1.309058593
8	0.7256785714	1.281294807
9	0.7298928571	1.255119794
10	0.7306785714	1.23077201
11	0.7342857143	1.206806169
12	0.7351428571	1.184625436
13	0.73475	1.163679309
14	0.73775	1.143186512
15	0.7377142857	1.123731377
16	0.7429642857	1.104764075
17	0.7459285714	1.086619363
18	0.7488571429	1.069276266
19	0.7509642857	1.052140355
20	0.7521785714	1.037074817
21	0.7534285714	1.021833106
22	0.75575	1.007373588
23	0.7565714286	0.9942238474
24	0.76	0.9806902332
25	0.7625714286	0.9687460957
26	0.7636785714	0.9560708674
27	0.7665357143	0.9449415696
28	0.7657857143	0.9347068504
29	0.7676071429	0.9226650103
30	0.76925	0.9116241637
31	0.7709285714	0.9014081777
32	0.7737142857	0.8907581477
33	0.7745	0.8812068495
34	0.77625	0.8708381393
35	0.7779285714	0.8613886477
36	0.7788928571	0.8527074567
37	0.7798928571	0.8445472374
38	0.7824285714	0.835259548
39	0.7841785714	0.8263795394
40	0.784	0.8194361049
41	0.7843928571	0.8117512299
42	0.7862857143	0.8040208123
43	0.7866071429	0.7967373527
44	0.7870357143	0.7894233277
45	0.78875	0.7825857483
46	0.7897857143	0.7754548732
47	0.7910714286	0.7687773835
48	0.792	0.7629344368
49	0.7935714286	0.7571391516
50	0.79475	0.7511826224
51	0.7951428571	0.7460068054
52	0.7961428571	0.7403750053
53	0.7972142857	0.7349371955
54	0.7986428571	0.729499755
55	0.79925	0.7242118998
56	0.7997142857	0.7196300551
57	0.8008214286	0.7146536945
58	0.8017857143	0.7104296688
59	0.8021785714	0.7054702583
60	0.80275	0.7004935445
61	0.8035	0.6964729726
62	0.8035714286	0.6921759742
63	0.8043928571	0.6877854143
64	0.8051785714	0.6837548087
65	0.8063571429	0.679385019
66	0.8068571429	0.6752943711
67	0.8080714286	0.6714374689
68	0.8092142857	0.6679156631
69	0.8095	0.6637433008
70	0.8105357143	0.6597996808
71	0.8111428571	0.6568098008
72	0.8121428571	0.6535683585
73	0.8131428571	0.6501777839
74	0.8131071429	0.6470525677
75	0.8138571429	0.6437532458
76	0.8151428571	0.6405099107
77	0.8161071429	0.6375717905
78	0.81575	0.6346855708
79	0.8167857143	0.6317394211
80	0.8171428571	0.6291735845
81	0.8175714286	0.6272219598
82	0.8178928571	0.6243517589
83	0.8184285714	0.6217630849
84	0.8191071429	0.619048949
85	0.8196785714	0.616740607
86	0.8203571429	0.6140523555
87	0.8214642857	0.6116823281
88	0.8216785714	0.6090491883
89	0.8225357143	0.6065371084
90	0.8226428571	0.6041218797
91	0.8231428571	0.602014775
92	0.8239642857	0.5994178528
93	0.8241785714	0.5970952032
94	0.8242857143	0.595239982
95	0.8247857143	0.5931994515
96	0.8253571429	0.5906906293
97	0.8268571429	0.5885018518
98	0.8270357143	0.5865528076
99	0.8280714286	0.5842189904
100	0.8286071429	0.5827334621
101	0.82875	0.5812521848
