iter	Passed	Remaining
0	31	21315
1	63	21291
2	95	21543
3	128	21665
4	161	21728
5	193	21679
6	226	21636
7	258	21586
8	289	21467
9	321	21422
10	352	21329
11	384	21309
12	415	21225
13	447	21203
14	479	21161
15	512	21179
16	545	21162
17	579	21232
18	611	21176
19	643	21135
20	676	21136
21	715	21290
22	754	21453
23	797	21695
24	834	21765
25	870	21798
26	907	21839
27	943	21866
28	980	21911
29	1017	21939
30	1052	21937
31	1088	21937
32	1125	21961
33	1162	21986
34	1199	21994
35	1234	21987
36	1272	22004
37	1308	21995
38	1342	21964
39	1379	21974
40	1414	21948
41	1451	21951
42	1486	21917
43	1521	21892
44	1557	21875
45	1592	21843
46	1625	21793
47	1657	21725
48	1694	21715
49	1731	21716
50	1768	21709
51	1803	21679
52	1836	21626
53	1870	21577
54	1902	21517
55	1938	21498
56	1975	21492
57	2009	21445
58	2042	21395
59	2076	21355
60	2108	21287
61	2140	21232
62	2173	21179
63	2207	21141
64	2238	21080
65	2271	21030
66	2303	20973
67	2335	20920
68	2367	20859
69	2398	20798
70	2429	20738
71	2462	20695
72	2498	20670
73	2531	20629
74	2561	20563
75	2595	20527
76	2628	20480
77	2661	20436
78	2694	20399
79	2727	20356
80	2760	20308
81	2795	20283
82	2827	20232
83	2862	20210
84	2895	20167
85	2931	20143
86	2964	20105
87	2998	20069
88	3034	20045
89	3067	20005
90	3099	19960
91	3132	19920
92	3165	19880
93	3199	19841
94	3230	19791
95	3262	19744
96	3299	19726
97	3334	19703
98	3372	19692
99	3410	19677
100	3443	19639
101	3480	19618
102	3511	19569
103	3546	19539
104	3580	19504
105	3613	19463
106	3649	19439
107	3684	19414
108	3720	19387
109	3758	19373
110	3793	19341
111	3827	19308
112	3864	19287
113	3898	19253
114	3938	19245
115	3976	19229
116	4013	19208
117	4048	19177
118	4080	19133
119	4114	19095
120	4148	19064
121	4183	19033
122	4216	18993
123	4252	18966
124	4285	18923
125	4318	18883
126	4349	18838
127	4386	18812
128	4419	18772
129	4452	18734
130	4486	18699
131	4519	18660
132	4552	18620
133	4586	18584
134	4622	18557
135	4658	18530
136	4698	18518
137	4731	18478
138	4766	18447
139	4798	18406
140	4831	18367
141	4867	18340
142	4901	18302
143	4935	18266
144	4969	18232
145	5001	18189
146	5035	18155
147	5069	18119
148	5104	18088
149	5137	18049
150	5171	18013
151	5205	17978
152	5237	17936
153	5270	17899
154	5302	17859
155	5334	17816
156	5367	17779
157	5401	17741
158	5436	17710
159	5472	17683
160	5507	17650
161	5543	17623
162	5576	17583
163	5610	17551
164	5645	17516
165	5679	17482
166	5717	17460
167	5750	17423
168	5784	17386
169	5818	17351
170	5851	17315
171	5884	17276
172	5920	17249
173	5956	17218
174	5988	17179
175	6021	17140
176	6054	17101
177	6087	17064
178	6122	17032
179	6155	16996
180	6190	16964
181	6224	16928
182	6257	16892
183	6289	16852
184	6323	16816
185	6358	16785
186	6391	16748
187	6424	16711
188	6458	16676
189	6491	16637
190	6526	16605
191	6562	16577
192	6594	16537
193	6627	16500
194	6662	16468
195	6704	16452
196	6745	16435
197	6790	16426
198	6828	16401
199	6865	16373
200	6902	16345
201	6938	16316
202	6975	16286
203	7012	16260
204	7046	16224
205	7081	16190
206	7117	16159
207	7150	16122
208	7184	16088
209	7219	16054
210	7250	16012
211	7284	15978
212	7318	15942
213	7350	15902
214	7382	15863
215	7416	15829
216	7450	15793
217	7483	15755
218	7515	15717
219	7550	15684
220	7584	15650
221	7619	15615
222	7653	15581
223	7697	15566
224	7735	15540
225	7769	15505
226	7806	15475
227	7842	15444
228	7878	15412
229	7914	15381
230	7952	15353
231	7985	15316
232	8020	15283
233	8053	15247
234	8088	15213
235	8121	15175
236	8155	15141
237	8189	15106
238	8223	15071
239	8257	15036
240	8292	15001
241	8325	14965
242	8357	14927
243	8391	14891
244	8423	14853
245	8455	14815
246	8492	14783
247	8523	14744
248	8556	14707
249	8590	14673
250	8625	14639
251	8660	14605
252	8698	14578
253	8736	14549
254	8770	14514
255	8807	14483
256	8841	14448
257	8879	14419
258	8915	14388
259	8951	14357
260	8988	14325
261	9021	14290
262	9056	14256
263	9092	14223
264	9125	14186
265	9161	14156
266	9198	14124
267	9234	14093
268	9272	14063
269	9310	14035
270	9345	14000
271	9386	13976
272	9420	13940
273	9457	13909
274	9494	13879
275	9528	13844
276	9564	13811
277	9602	13782
278	9641	13753
279	9677	13721
280	9714	13689
281	9749	13656
282	9786	13624
283	9821	13591
284	9854	13553
285	9889	13520
286	9925	13487
287	9959	13451
288	9995	13419
289	10030	13385
290	10065	13351
291	10099	13316
292	10132	13279
293	10164	13241
294	10198	13205
295	10233	13171
296	10266	13136
297	10300	13100
298	10333	13063
299	10368	13029
300	10402	12994
301	10438	12961
302	10473	12928
303	10506	12891
304	10540	12856
305	10574	12821
306	10609	12786
307	10641	12748
308	10679	12718
309	10715	12685
310	10751	12653
311	10785	12617
312	10818	12581
313	10853	12547
314	10887	12512
315	10921	12476
316	10953	12439
317	10987	12404
318	11020	12368
319	11054	12332
320	11091	12300
321	11126	12266
322	11159	12230
323	11191	12192
324	11224	12157
325	11259	12122
326	11292	12086
327	11326	12052
328	11361	12017
329	11393	11980
330	11427	11945
331	11459	11908
332	11493	11873
333	11527	11837
334	11562	11804
335	11596	11768
336	11628	11732
337	11661	11696
338	11699	11664
